Date,Day_of_the_week,App,Minutes,Category
8/22,Tuesday,INSTAGRAM,97,Social Media
8/22,Tuesday,TIKTOK,72,Social Media
8/22,Tuesday,SPOTIFY,254,Entertainment
8/22,Tuesday,PHOTOS,39,Other
8/22,Tuesday,MESSAGES,94,Other
8/22,Tuesday,SNAPCHAT,32,Social Media
8/22,Tuesday,PHONE,25,Other
8/23,Wednesday,PHOTOS,62,Other
8/23,Wednesday,TIKTOK,67,Social Media
8/23,Wednesday,CAMERA,36,Other
8/23,Wednesday,INSTAGRAM,82,Social Media
8/23,Wednesday,SPOTIFY,236,Entertainment
8/23,Wednesday,SNAPCHAT,44,Social Media
8/23,Wednesday,MESSAGES,24,Other
8/24,Thursday,TIKTOK,118,Social Media
8/24,Thursday,INSTAGRAM,133,Social Media
8/24,Thursday,SNAPCHAT,19,Social Media
8/24,Thursday,PHOTOS,16,Other
8/24,Thursday,MESSAGES,22,Other
8/24,Thursday,SPOTIFY,20,Entertainment
8/25,Friday,TIKTOK,135,Social Media
8/25,Friday,INSTAGRAM,51,Social Media
8/25,Friday,SPOTIFY,20,Entertainment
8/25,Friday,MESSAGES,6,Other
8/25,Friday,PHOTOS,8,Other
8/26,Saturday,INSTAGRAM,106,Social Media
8/26,Saturday,PHOTOS,59,Other
8/26,Saturday,TIKTOK,29,Social Media
8/26,Saturday,SPOTIFY,99,Entertainment
8/26,Saturday,SNAPCHAT,19,Social Media
8/26,Saturday,MESSAGES,24,Other
8/27,Sunday,TIKTOK,172,Social Media
8/27,Sunday,INSTAGRAM,77,Social Media
8/27,Sunday,MESSAGES,22,Other
8/27,Sunday,CHROME,46,Other
8/27,Sunday,PHOTOS,21,Other
8/27,Sunday,SNAPCHAT,4,Social Media
8/27,Sunday,SPOTIFY,15,Entertainment
8/28,Monday,MAPS,46,Travel
8/28,Monday,TIKTOK,40,Social Media
8/28,Monday,INSTAGRAM,45,Social Media
8/28,Monday,SPOTIFY,80,Entertainment
8/28,Monday,MESSAGES,20,Other
8/28,Monday,PHOTOS,9,Other
8/28,Monday,CAMERA,8,Other
8/28,Monday,SNAPCHAT,3,Social Media
